index,sample,etchlevel,etchtime,reference_profile,species,expected_amp,fitted_amp,stderr,delta
10,ReTa04,0,0.0,Control-derived reference,Ta+1,0.05,0.2651738048550532,0.0,0.21517380485505322
10,ReTa04,0,0.0,Control-derived reference,Ta+3,0.1,3.317227370949387e-15,0.0,-0.09999999999999669
10,ReTa04,0,0.0,Control-derived reference,Ta+5 (Ta2O5),0.55,0.4960551788454813,0.0,-0.05394482115451876
11,ReTa04,1,10.013,Control-derived reference,Ta metal,0.2,0.09692551043450297,0.08008567341991837,-0.10307448956549704
11,ReTa04,1,10.013,Control-derived reference,Ta interface,0.05,0.10650021321892436,0.0827397671930689,0.05650021321892436
11,ReTa04,1,10.013,Control-derived reference,Ta alloy,0.05,0.07248177435468467,0.009290113970123453,0.022481774354684667
11,ReTa04,1,10.013,Control-derived reference,Ta+1,0.05,0.5325010660946218,0.061755831482898156,0.4825010660946218
11,ReTa04,1,10.013,Control-derived reference,Ta+3,0.1,0.15854245593924954,0.005168810462432672,0.05854245593924953
11,ReTa04,1,10.013,Control-derived reference,Ta+5 (Ta2O5),0.55,0.0330489799580167,0.0032917411490387947,-0.5169510200419833
12,ReTa04,2,20.026,Control-derived reference,Ta metal,0.2,0.10243976899382586,0.08172357094850713,-0.09756023100617416
12,ReTa04,2,20.026,Control-derived reference,Ta interface,0.05,0.10676119077147918,0.08785773200660914,0.056761190771479175
12,ReTa04,2,20.026,Control-derived reference,Ta alloy,0.05,0.07263322727896611,0.00909755370162499,0.022633227278966106
12,ReTa04,2,20.026,Control-derived reference,Ta+1,0.05,0.5338059538573959,0.06338138617762022,0.48380595385739594
12,ReTa04,2,20.026,Control-derived reference,Ta+3,0.1,0.1508138592156636,0.004963283498547299,0.05081385921566359
12,ReTa04,2,20.026,Control-derived reference,Ta+5 (Ta2O5),0.55,0.0335459998826694,0.0032469466740196145,-0.5164540001173307
13,ReTa04,3,30.039,Control-derived reference,Ta metal,0.2,0.10641978732988845,0.08191414472147318,-0.09358021267011156
13,ReTa04,3,30.039,Control-derived reference,Ta interface,0.05,0.10651296127937053,0.08998633161299412,0.05651296127937053
13,ReTa04,3,30.039,Control-derived reference,Ta alloy,0.05,0.07398885919878555,0.009055129008292391,0.023988859198785545
13,ReTa04,3,30.039,Control-derived reference,Ta+1,0.05,0.5325648063968527,0.06365340459514342,0.4825648063968527
13,ReTa04,3,30.039,Control-derived reference,Ta+3,0.1,0.14748491235475003,0.004898940544337337,0.047484912354750025
13,ReTa04,3,30.039,Control-derived reference,Ta+5 (Ta2O5),0.55,0.03302867344035272,0.0032238069953473975,-0.5169713265596473
14,ReTa04,4,40.051,Control-derived reference,Ta metal,0.2,0.10801659250853535,0.07893390600329908,-0.09198340749146466
14,ReTa04,4,40.051,Control-derived reference,Ta interface,0.05,0.1066186321397227,0.09224803708999252,0.056618632139722694
14,ReTa04,4,40.051,Control-derived reference,Ta alloy,0.05,0.07213440603750187,0.009317548289596345,0.022134406037501872
14,ReTa04,4,40.051,Control-derived reference,Ta+1,0.05,0.5330931606986136,0.06603979644399749,0.4830931606986136
14,ReTa04,4,40.051,Control-derived reference,Ta+3,0.1,0.1471496785920313,0.00500931713586456,0.047149678592031286
14,ReTa04,4,40.051,Control-derived reference,Ta+5 (Ta2O5),0.55,0.032987530023595175,0.0033198688907315177,-0.5170124699764048
15,ReTa04,5,50.063,Control-derived reference,Ta metal,0.2,0.10394264138241363,0.07924996286305919,-0.09605735861758638
15,ReTa04,5,50.063,Control-derived reference,Ta interface,0.05,0.10658349806881405,0.09176067682486463,0.05658349806881405
15,ReTa04,5,50.063,Control-derived reference,Ta alloy,0.05,0.07418462945753108,0.009439377680930753,0.02418462945753108
15,ReTa04,5,50.063,Control-derived reference,Ta+1,0.05,0.5329174903440702,0.06633292111467945,0.4829174903440702
15,ReTa04,5,50.063,Control-derived reference,Ta+3,0.1,0.1486653715347668,0.005070625583544592,0.0486653715347668
15,ReTa04,5,50.063,Control-derived reference,Ta+5 (Ta2O5),0.55,0.033706369212404184,0.0033407130694138388,-0.5162936307875958
16,ReTa04,6,60.076,Control-derived reference,Ta metal,0.2,0.10917295718225732,0.0746088453038147,-0.09082704281774269
16,ReTa04,6,60.076,Control-derived reference,Ta interface,0.05,0.10650645615089663,0.09020806976260042,0.056506456150896625
16,ReTa04,6,60.076,Control-derived reference,Ta alloy,0.05,0.07109860145489573,0.008937924738413996,0.021098601454895727
16,ReTa04,6,60.076,Control-derived reference,Ta+1,0.05,0.532532280754502,0.06464359949146474,0.482532280754502
16,ReTa04,6,60.076,Control-derived reference,Ta+3,0.1,0.14847778453128016,0.004894517862158979,0.048477784531280155
16,ReTa04,6,60.076,Control-derived reference,Ta+5 (Ta2O5),0.55,0.03221191992616822,0.0032010044417356194,-0.5177880800738318
