index,sample,etchlevel,etchtime,species,expected_sigma_eV,fitted_sigma_eV,fitted_stderr,delta_eV
4,ReTa03,4,40.051,Re2O7 (Re7+),0.3,0.9999999999999999,0.22097740905586663,0.7
5,ReTa03,5,50.064,Re metal,0.12,0.21132332697249004,0.004458482970618829,0.09132332697249004
5,ReTa03,5,50.064,ReO2 (Re4+),0.25,0.5999999999999999,0.3798667067185939,0.34999999999999987
5,ReTa03,5,50.064,ReO3 (Re6+),0.25,0.6387932928533138,0.631170397548152,0.38879329285331377
5,ReTa03,5,50.064,Re2O7 (Re7+),0.3,0.9999999999999999,0.22293757450078977,0.7
6,ReTa03,6,60.077,Re metal,0.12,0.21155869989980927,0.004411065566834128,0.09155869989980928
6,ReTa03,6,60.077,ReO2 (Re4+),0.25,0.5999999999999999,0.3875992249668299,0.34999999999999987
6,ReTa03,6,60.077,ReO3 (Re6+),0.25,0.6296179549796083,0.614929342389276,0.37961795497960826
6,ReTa03,6,60.077,Re2O7 (Re7+),0.3,0.9999999999999999,0.22367726186055328,0.7
7,ReTa03,7,70.09,Re metal,0.12,0.21174141505321736,0.004541961010654919,0.09174141505321737
7,ReTa03,7,70.09,ReO2 (Re4+),0.25,0.5999999999999999,0.39001399753814125,0.34999999999999987
7,ReTa03,7,70.09,ReO3 (Re6+),0.25,0.6365400422238141,0.6438545319340172,0.3865400422238141
7,ReTa03,7,70.09,Re2O7 (Re7+),0.3,0.9999999999999999,0.22143238403340998,0.7
8,ReTa03,8,80.103,Re metal,0.12,0.21112576433329244,0.004343665334671258,0.09112576433329245
8,ReTa03,8,80.103,ReO2 (Re4+),0.25,0.5999999999999999,0.3697276493242471,0.34999999999999987
8,ReTa03,8,80.103,ReO3 (Re6+),0.25,0.6348794848272907,0.599647798792544,0.38487948482729073
8,ReTa03,8,80.103,Re2O7 (Re7+),0.3,0.9999999999999999,0.2242779713082687,0.7
9,ReTa03,9,90.115,Re metal,0.12,0.21144238708066082,0.004445200705701237,0.09144238708066083
9,ReTa03,9,90.115,ReO2 (Re4+),0.25,0.5999999999999999,0.3859529304063729,0.34999999999999987
9,ReTa03,9,90.115,ReO3 (Re6+),0.25,0.6371302188287477,0.6331022298935487,0.38713021882874765
