index,sample,etchlevel,etchtime,species,expected_sigma_eV,fitted_sigma_eV,fitted_stderr,delta_eV
11,ReTa04,1,10.013,Ta interface,0.1,0.19999999999999998,0.02361673745439592,0.09999999999999998
11,ReTa04,1,10.013,Ta alloy,0.1,0.19999999999999998,0.02361673745439592,0.09999999999999998
11,ReTa04,1,10.013,Ta+1,0.2,0.3474499508412791,0.015412288205787052,0.1474499508412791
11,ReTa04,1,10.013,Ta+3,0.2,0.3474499508412791,0.015412288205787052,0.1474499508412791
11,ReTa04,1,10.013,Ta+5 (Ta2O5),0.2,0.3474499508412791,0.01541228820434219,0.1474499508412791
12,ReTa04,2,20.026,Ta metal,0.1,0.19999999999999998,0.023186925604437216,0.09999999999999998
12,ReTa04,2,20.026,Ta interface,0.1,0.19999999999999998,0.023186925626031727,0.09999999999999998
12,ReTa04,2,20.026,Ta alloy,0.1,0.19999999999999998,0.023186925626031727,0.09999999999999998
12,ReTa04,2,20.026,Ta+1,0.2,0.3402486542457075,0.014383509414915648,0.14024865424570748
12,ReTa04,2,20.026,Ta+3,0.2,0.3402486542457075,0.014383509414915648,0.14024865424570748
12,ReTa04,2,20.026,Ta+5 (Ta2O5),0.2,0.3402486542457075,0.014383509439456384,0.14024865424570748
13,ReTa04,3,30.039,Ta metal,0.1,0.19999999999999998,0.02261647426352583,0.09999999999999998
13,ReTa04,3,30.039,Ta interface,0.1,0.19999999999999998,0.02261647428458907,0.09999999999999998
13,ReTa04,3,30.039,Ta alloy,0.1,0.19999999999999998,0.02261647428458907,0.09999999999999998
13,ReTa04,3,30.039,Ta+1,0.2,0.33766855071186547,0.014094092977418152,0.13766855071186546
13,ReTa04,3,30.039,Ta+3,0.2,0.33766855071186547,0.014094092977418152,0.13766855071186546
13,ReTa04,3,30.039,Ta+5 (Ta2O5),0.2,0.33766855071186547,0.014094092959878514,0.13766855071186546
14,ReTa04,4,40.051,Ta metal,0.1,0.1999999999999998,0.023822901877101812,0.09999999999999978
14,ReTa04,4,40.051,Ta interface,0.1,0.1999999999999998,0.02382290189928864,0.09999999999999978
14,ReTa04,4,40.051,Ta alloy,0.1,0.1999999999999998,0.02382290189928864,0.09999999999999978
14,ReTa04,4,40.051,Ta+1,0.2,0.3385481858372998,0.014618628765246621,0.13854818583729978
14,ReTa04,4,40.051,Ta+3,0.2,0.3385481858372998,0.014618628765246621,0.13854818583729978
14,ReTa04,4,40.051,Ta+5 (Ta2O5),0.2,0.3385481858372998,0.014618628788283013,0.13854818583729978
15,ReTa04,5,50.063,Ta metal,0.1,0.19999999999999998,0.02343906583364861,0.09999999999999998
15,ReTa04,5,50.063,Ta interface,0.1,0.19999999999999998,0.02343906585547794,0.09999999999999998
15,ReTa04,5,50.063,Ta alloy,0.1,0.19999999999999998,0.02343906585547794,0.09999999999999998
15,ReTa04,5,50.063,Ta+1,0.2,0.3378654612992712,0.014806789962697565,0.13786546129927119
15,ReTa04,5,50.063,Ta+3,0.2,0.3378654612992712,0.014806789962697565,0.13786546129927119
15,ReTa04,5,50.063,Ta+5 (Ta2O5),0.2,0.3378654612992712,0.014806789990536537,0.13786546129927119
16,ReTa04,6,60.076,Ta metal,0.1,0.19999999999999665,0.023229875868393104,0.09999999999999665
16,ReTa04,6,60.076,Ta interface,0.1,0.19999999999999665,0.023229875890028003,0.09999999999999665
16,ReTa04,6,60.076,Ta alloy,0.1,0.19999999999999665,0.023229875890028003,0.09999999999999665
16,ReTa04,6,60.076,Ta+1,0.2,0.33649719898864366,0.013884196314867701,0.13649719898864365
16,ReTa04,6,60.076,Ta+3,0.2,0.33649719898864366,0.013884196314867701,0.13649719898864365
16,ReTa04,6,60.076,Ta+5 (Ta2O5),0.2,0.33649719898864366,0.01388419632305106,0.13649719898864365
17,ReTa04,7,70.089,Ta metal,0.1,0.19999999999999996,0.023584518841150093,0.09999999999999995
17,ReTa04,7,70.089,Ta interface,0.1,0.19999999999999996,0.023584518863114887,0.09999999999999995
17,ReTa04,7,70.089,Ta alloy,0.1,0.19999999999999996,0.023584518863114887,0.09999999999999995
17,ReTa04,7,70.089,Ta+1,0.2,0.3383826335367997,0.014560080442018121,0.1383826335367997
17,ReTa04,7,70.089,Ta+3,0.2,0.3383826335367997,0.014560080442018121,0.1383826335367997
17,ReTa04,7,70.089,Ta+5 (Ta2O5),0.2,0.3383826335367997,0.014560080447777738,0.1383826335367997
18,ReTa04,8,80.101,Ta metal,0.1,0.19999999999999998,0.023091932868422815,0.09999999999999998
18,ReTa04,8,80.101,Ta interface,0.1,0.19999999999999998,0.023091932889928855,0.09999999999999998
18,ReTa04,8,80.101,Ta alloy,0.1,0.19999999999999998,0.023091932889928855,0.09999999999999998
18,ReTa04,8,80.101,Ta+1,0.2,0.3368172684721106,0.013946189793297988,0.13681726847211056
18,ReTa04,8,80.101,Ta+3,0.2,0.3368172684721106,0.013946189793297988,0.13681726847211056
18,ReTa04,8,80.101,Ta+5 (Ta2O5),0.2,0.3368172684721106,0.013946189801162422,0.13681726847211056
19,ReTa04,9,90.114,Ta metal,0.1,0.19999999999999998,0.023802873686352113,0.09999999999999998
19,ReTa04,9,90.114,Ta interface,0.1,0.19999999999999998,0.023802873708520265,0.09999999999999998
19,ReTa04,9,90.114,Ta alloy,0.1,0.19999999999999998,0.023802873708520265,0.09999999999999998
19,ReTa04,9,90.114,Ta+1,0.2,0.3382919797309211,0.014698385642165959,0.1382919797309211
19,ReTa04,9,90.114,Ta+3,0.2,0.3382919797309211,0.014698385642165959,0.1382919797309211
19,ReTa04,9,90.114,Ta+5 (Ta2O5),0.2,0.3382919797309211,0.01469838561630286,0.1382919797309211
