index,sample,etchlevel,etchtime,reference_profile,species,expected_amp,fitted_amp,stderr,delta
6,ReTa03,6,60.077,Control-derived reference,Re2O7 (Re7+),0.1,0.0476524209447447,0.007394396310694615,-0.052347579055255306
7,ReTa03,7,70.09,Control-derived reference,Re metal,0.5,0.8254487754178396,0.03046214245215321,0.32544877541783956
7,ReTa03,7,70.09,Control-derived reference,ReO2 (Re4+),0.25,0.08979567626352397,0.09353856306869537,-0.16020432373647603
7,ReTa03,7,70.09,Control-derived reference,ReO3 (Re6+),0.15,0.03528577225128902,0.07750529086870846,-0.11471422774871098
7,ReTa03,7,70.09,Control-derived reference,Re2O7 (Re7+),0.1,0.04946977606734748,0.007614206068468856,-0.050530223932652524
8,ReTa03,8,80.103,Control-derived reference,Re metal,0.5,0.8276625847449229,0.029086757457828183,0.32766258474492294
8,ReTa03,8,80.103,Control-derived reference,ReO2 (Re4+),0.25,0.08967771415530273,0.08710586436551526,-0.16032228584469727
8,ReTa03,8,80.103,Control-derived reference,ReO3 (Re6+),0.15,0.035522889443760274,0.0719826943655497,-0.11447711055623971
8,ReTa03,8,80.103,Control-derived reference,Re2O7 (Re7+),0.1,0.04713681165601402,0.007365341703968803,-0.052863188343985984
9,ReTa03,9,90.115,Control-derived reference,Re metal,0.5,0.8274842809278624,0.029758922080954937,0.3274842809278624
9,ReTa03,9,90.115,Control-derived reference,ReO2 (Re4+),0.25,0.08909609536702699,0.09218633387053958,-0.160903904632973
9,ReTa03,9,90.115,Control-derived reference,ReO3 (Re6+),0.15,0.035450989009005465,0.0766346149801143,-0.11454901099099453
9,ReTa03,9,90.115,Control-derived reference,Re2O7 (Re7+),0.1,0.04796863469610526,0.007506860415252529,-0.052031365303894746
10,ReTa04,0,0.0,Control-derived reference,Re metal,0.5,0.6902105053768551,0.02152049191640539,0.19021050537685513
10,ReTa04,0,0.0,Control-derived reference,ReO2 (Re4+),0.25,0.20014968201265293,0.03558018410067435,-0.04985031798734707
10,ReTa04,0,0.0,Control-derived reference,ReO3 (Re6+),0.15,0.07212034621463256,0.029372005616557978,-0.07787965378536743
