index,sample,etchlevel,etchtime,element,species,spin,expected_eV,fitted_eV,fitted_stderr,delta_eV
13,ReTa04,3,30.039,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.345399784248736,-0.3999999999999986
13,ReTa04,3,30.039,Re4f,ReO2 (Re4+),5/2,44.62,44.23606926153543,0.34545117556863547,-0.3839307384645707
13,ReTa04,3,30.039,Re4f,ReO3 (Re6+),7/2,43.1,43.18460066597421,1.145545037358971,0.08460066597420735
13,ReTa04,3,30.039,Re4f,ReO3 (Re6+),5/2,45.52,45.62066992750963,1.145357199705899,0.10066992750962811
13,ReTa04,3,30.039,Re4f,Re2O7 (Re7+),7/2,45.5,46.699999999999996,0.3448589021347735,1.1999999999999957
13,ReTa04,3,30.039,Re4f,Re2O7 (Re7+),5/2,47.92,49.13606926153542,0.3442211532654618,1.2160692615354165
14,ReTa04,4,40.051,Re4f,Re metal,7/2,40.35,40.59910728261945,0.008509605330107365,0.24910728261944826
14,ReTa04,4,40.051,Re4f,Re metal,5/2,42.77,43.036308284486445,0.009796697078903259,0.26630828448644195
14,ReTa04,4,40.051,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.36253532899135626,-0.3999999999999986
14,ReTa04,4,40.051,Re4f,ReO2 (Re4+),5/2,44.62,44.237201001867,0.36237943509014237,-0.3827989981329978
14,ReTa04,4,40.051,Re4f,ReO3 (Re6+),7/2,43.1,43.16322431247261,1.186961632609859,0.06322431247260596
14,ReTa04,4,40.051,Re4f,ReO3 (Re6+),5/2,45.52,45.6004253143396,1.186554401578328,0.08042531433959965
14,ReTa04,4,40.051,Re4f,Re2O7 (Re7+),7/2,45.5,46.699999999999996,0.34010504822737075,1.1999999999999957
14,ReTa04,4,40.051,Re4f,Re2O7 (Re7+),5/2,47.92,49.13720100186699,0.33953299990435554,1.2172010018669894
15,ReTa04,5,50.063,Re4f,Re metal,7/2,40.35,40.59903384806723,0.008448712279768145,0.24903384806722784
15,ReTa04,5,50.063,Re4f,Re metal,5/2,42.77,43.035509183893204,0.009677088276778295,0.2655091838932009
15,ReTa04,5,50.063,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.3767641024748689,-0.3999999999999986
15,ReTa04,5,50.063,Re4f,ReO2 (Re4+),5/2,44.62,44.23647533582598,0.3768078851857019,-0.3835246641740184
15,ReTa04,5,50.063,Re4f,ReO3 (Re6+),7/2,43.1,43.165157650097846,1.2584446058894159,0.06515765009784502
15,ReTa04,5,50.063,Re4f,ReO3 (Re6+),5/2,45.52,45.60163298592382,1.258244357652675,0.08163298592381807
15,ReTa04,5,50.063,Re4f,Re2O7 (Re7+),7/2,45.5,46.699999999999996,0.3445185594757996,1.1999999999999957
15,ReTa04,5,50.063,Re4f,Re2O7 (Re7+),5/2,47.92,49.13647533582597,0.34389638428287206,1.2164753358259688
16,ReTa04,6,60.076,Re4f,Re metal,7/2,40.35,40.60147179481639,0.00854668140399927,0.25147179481638915
