sample,group,element,species,spin,expected_eV,fitted_eV,stderr_eV,delta_eV,etchlevel,etchtime,depth_order
ReTa03,Unknown,Re4f,ReO3 (Re6+),5/2,45.5,45.582233898095325,0.19599955030504107,0.08223389809532478,7.0,70.09,8
ReTa03,Unknown,Re4f,ReO3 (Re6+),5/2,45.5,45.59058102980616,0.1852939726676397,0.09058102980615956,8.0,80.103,9
ReTa03,Unknown,Re4f,ReO3 (Re6+),5/2,45.5,45.58113737522063,0.192249462631988,0.08113737522062792,9.0,90.115,10
ReTa03,Unknown,Re4f,ReO3 (Re6+),7/2,43.1,43.46549800044711,0.07623545677844615,0.36549800044711134,,,0
ReTa03,Unknown,Re4f,ReO3 (Re6+),7/2,43.1,43.491449747577235,0.07334616930699042,0.3914497475772336,0.0,0.0,1
ReTa03,Unknown,Re4f,ReO3 (Re6+),7/2,43.1,43.15836206142996,0.19373884124746835,0.05836206142996048,1.0,10.013,2
ReTa03,Unknown,Re4f,ReO3 (Re6+),7/2,43.1,43.143961892389605,0.1980854581323286,0.04396189238960346,2.0,20.026,3
ReTa03,Unknown,Re4f,ReO3 (Re6+),7/2,43.1,43.15589043274313,0.19003718197273414,0.05589043274312644,3.0,30.038,4
ReTa03,Unknown,Re4f,ReO3 (Re6+),7/2,43.1,43.129195368096745,0.19170052672610147,0.029195368096743834,4.0,40.051,5
ReTa03,Unknown,Re4f,ReO3 (Re6+),7/2,43.1,43.1535030770361,0.19757168770287944,0.05350307703609758,5.0,50.064,6
ReTa03,Unknown,Re4f,ReO3 (Re6+),7/2,43.1,43.139849494491784,0.19123228455992639,0.03984949449178288,6.0,60.077,7
ReTa03,Unknown,Re4f,ReO3 (Re6+),7/2,43.1,43.14676276601045,0.20041498047139922,0.04676276601044549,7.0,70.09,8
ReTa03,Unknown,Re4f,ReO3 (Re6+),7/2,43.1,43.156345641741034,0.18949743866973176,0.05634564174103218,8.0,80.103,9
ReTa03,Unknown,Re4f,ReO3 (Re6+),7/2,43.1,43.14540864053446,0.196559283200398,0.04540864053446114,9.0,90.115,10
ReTa03,Unknown,Ta4f,Ta alloy,5/2,25.9,27.699999999999974,4.50670881256222e-08,1.7999999999999758,,,0
ReTa03,Unknown,Ta4f,Ta alloy,5/2,25.9,27.7,1.7665660944984256e-08,1.8000000000000007,0.0,0.0,1
ReTa03,Unknown,Ta4f,Ta alloy,5/2,25.9,25.617109728614608,0.029045168714554637,-0.2828902713853907,1.0,10.013,2
ReTa03,Unknown,Ta4f,Ta alloy,5/2,25.9,25.578449833056816,0.02320394684961612,-0.32155016694318306,2.0,20.026,3
ReTa03,Unknown,Ta4f,Ta alloy,5/2,25.9,25.566733719012184,0.022465451402775026,-0.3332662809878144,3.0,30.038,4
ReTa03,Unknown,Ta4f,Ta alloy,5/2,25.9,25.556313990601996,0.021318623469835908,-0.3436860093980023,4.0,40.051,5
ReTa03,Unknown,Ta4f,Ta alloy,5/2,25.9,25.561396136121132,0.022153915350852017,-0.3386038638788662,5.0,50.064,6
ReTa03,Unknown,Ta4f,Ta alloy,5/2,25.9,25.549671023492316,0.021409978661142873,-0.3503289765076829,6.0,60.077,7
ReTa03,Unknown,Ta4f,Ta alloy,5/2,25.9,25.54902025129093,0.02134287155752443,-0.3509797487090687,7.0,70.09,8
ReTa03,Unknown,Ta4f,Ta alloy,5/2,25.9,25.553299132006288,0.02153182763215487,-0.3467008679937109,8.0,80.103,9
ReTa03,Unknown,Ta4f,Ta alloy,5/2,25.9,26.196765908486814,0.041061043983587404,0.2967659084868153,9.0,90.115,10
ReTa03,Unknown,Ta4f,Ta alloy,7/2,24.0,24.699999999999978,4.442578563698797e-08,0.699999999999978,,,0
ReTa03,Unknown,Ta4f,Ta alloy,7/2,24.0,24.7,1.7614988290471548e-08,0.6999999999999993,0.0,0.0,1
