sample,group,element,species,spin,expected_eV,fitted_eV,stderr_eV,delta_eV
BOE_WK2,BOE,Re4f,Redp1 (Reδ+1),5/2,42.99,43.09967680718331,0.03202350261137064,0.10967680718330541
BOE_WK2,BOE,Re4f,Redp2 (Reδ+2),7/2,40.8,40.90289757336021,0.03151996500165375,0.10289757336020955
BOE_WK2,BOE,Re4f,Redp2 (Reδ+2),5/2,43.22,43.32967680718331,0.03202350261137064,0.10967680718331252
BOE_WK2,BOE,Re4f,Redp3 (Reδ+3),7/2,41.08,41.1828975733602,0.03151996500165375,0.10289757336020244
BOE_WK2,BOE,Re4f,Redp3 (Reδ+3),5/2,43.5,43.609676807183305,0.03202350261137064,0.10967680718330541
BOE_WK2,BOE,Re4f,ReO2 (Re4+),7/2,42.2,41.854724810887156,0.07942091242729833,-0.34527518911284716
BOE_WK2,BOE,Re4f,ReO2 (Re4+),5/2,44.62,44.28150404471026,0.08062327936510116,-0.3384959552897371
BOE_WK2,BOE,Re4f,ReO3 (Re6+),7/2,43.1,43.28240031926127,0.2984792247956176,0.18240031926126932
BOE_WK2,BOE,Re4f,ReO3 (Re6+),5/2,45.52,45.709179553084375,0.30048568041696844,0.1891795530843723
BOE_WK2,BOE,Re4f,Re2O7 (Re7+),7/2,45.5,45.72530816229939,0.007988867843250147,0.22530816229939177
BOE_WK2,BOE,Re4f,Re2O7 (Re7+),5/2,47.92,48.152087396122496,0.00856912304605819,0.23208739612249474
BOE_WK3,BOE,Re4f,Re metal,7/2,40.35,40.44505893541917,0.03069569559267146,0.09505893541916777
BOE_WK3,BOE,Re4f,Re metal,5/2,42.77,42.87208845152193,0.031195067743493864,0.10208845152192936
BOE_WK3,BOE,Re4f,Redp1 (Reδ+1),7/2,40.57,40.66505893541917,0.03069569550707173,0.09505893541916777
BOE_WK3,BOE,Re4f,Redp1 (Reδ+1),5/2,42.99,43.09208845152193,0.031195067743493864,0.10208845152192936
BOE_WK3,BOE,Re4f,Redp2 (Reδ+2),7/2,40.8,40.89505893541917,0.03069569550707173,0.09505893541917487
BOE_WK3,BOE,Re4f,Redp2 (Reδ+2),5/2,43.22,43.322088451521935,0.031195067743493864,0.10208845152193646
BOE_WK3,BOE,Re4f,Redp3 (Reδ+3),7/2,41.08,41.175058935419166,0.03069569550707173,0.09505893541916777
